"name","address","city","year_built","architect","building_condition","heritage_value","building_history","description","sources_literature","images","main_image"
"Gärten Eldena","Eldena, Greifswald Grünflächen der ehemaligen Königlichen staats- und landwirtschaftlichen Akademie Eldena (heute Gelände des Forstamtes und des Naturkindergartens)","Eldena","","","","Historische Pläne Denkmalwertbegründung Bestandsfotos 2022","","","","images/placeholder.jpg","images/placeholder.jpg"
"Als Forstamt genutzt","Eldena, Greifswald (Vorpommern-Greifswald) - Hainstraße 5 - Akademiegebäude","Eldena","","","","Denkmalwertbegründung","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stall Eldena","Eldena, Greifswald (Vorpommern-Greifswald) - Hainstraße 5 - Stall","Eldena","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Schuenhagen","Schuenhagen, Velgast (Vorpommern-Rügen) - Am Kronenwald 1 - Forsthaus","Schuenhagen","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Finkenthal","Finkenthal (Landkreis Rostock) - Dorfstraße 69 - Forsthof","Finkenthal","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Finkenthal","Finkenthal (Landkreis Rostock) - Forsthaus","Finkenthal","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Finkenthal","Finkenthal (Landkreis Rostock) - Dorfstraße 69 - Forsthof","Finkenthal","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stall Finkenthal","Finkenthal (Landkreis Rostock) - Dorfstraße 69 - Forsthof","Finkenthal","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Jagdpavillon Ivenack","Ivenack (Mecklenburgische Seenplatte) - Tiergarten - Pavillon","Ivenack","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Sandhof","Sandhof, Neu Poserin (Ludwigslust-Parchim) - Waldstraße 35 - Forsthof","Sandhof","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Sandhof","Sandhof, Neu Poserin (Ludwigslust-Parchim) - Waldstraße 35 - Forsthaus","Sandhof","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stallscheune Sandhof","Sandhof, Neu Poserin (Ludwigslust-Parchim) - Waldstraße 35 - Forsthof","Sandhof","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stallscheune Sandhof","Sandhof, Neu Poserin (Ludwigslust-Parchim) - Waldstraße 35 - Forsthof","Sandhof","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Kleesten","Kleesten, Dobbertin (Ludwigslust-Parchim) - Kleesten 4 - Forsthof","Kleesten","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus?","Kleesten, Dobbertin (Ludwigslust-Parchim) - Kleesten 4 - Domänenpächterhaus","Kleesten","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Kleesten","Kleesten, Dobbertin (Ludwigslust-Parchim) - Kleesten 4 - Scheune","Kleesten","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Lohmen","Lohmen (Landkreis Rostock) - Dorfstraße 20 - Forsthaus","Lohmen","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stall Lohmen","Lohmen (Landkreis Rostock) - Dorfstraße 20 - Stall","Lohmen","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Bad Doberan","Bad Doberan (Landkreis Rostock) - Neue Reihe 46, b, c - Forsthof","Bad Doberan","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Bad Doberan","Bad Doberan (Landkreis Rostock) - Neue Reihe 46, b, c - Forsthof","Bad Doberan","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stall Bad Doberan","Bad Doberan (Landkreis Rostock) - Neue Reihe 46, b, c - Forsthof","Bad Doberan","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Mauer Bad Doberan","Bad Doberan (Landkreis Rostock) - Neue Reihe 46, b, c - Forsthof","Bad Doberan","","","","Kurzbegründung","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Schlemmin","Schlemmin, Bernitt (Landkreis Rostock) - Hauptstraße 10a - Forsthaus","Schlemmin","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Gädebehn","Gädebehn, Crivitz (Ludwigslust-Parchim) - Alte Försterei 1 - Forsthaus","Gädebehn","","","","Kurzbegründung","","","","images/placeholder.jpg","images/placeholder.jpg"
"Dorfanlage mit Forstarbeiterhäusern","Gädebehn, Crivitz (Ludwigslust-Parchim) - Alte Försterei 1 - Forsthaus","Gädebehn","","","","Kein Denkmal","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Crivitz","Crivitz (Ludwigslust-Parchim) - Rönkenhofer Weg 2 - Forsthof","Crivitz","","","","Denkmalwertbegründung","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Crivitz","Crivitz (Ludwigslust-Parchim) - Rönkenhofer Weg 2 - Forsthof","Crivitz","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Crivitz","Crivitz (Ludwigslust-Parchim) - Rönkenhofer Weg 2 - Forsthof","Crivitz","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Gostorf","Gostorf, Stepenitztal (Nordwestmecklenburg) - Forsthof","Gostorf","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Gostorf","Gostorf, Stepenitztal (Nordwestmecklenburg) - Forsthof","Gostorf","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stall Gostorf","Gostorf, Stepenitztal (Nordwestmecklenburg) - Forsthof","Gostorf","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Backhaus Gostorf","Gostorf, Stepenitztal (Nordwestmecklenburg) - Forsthof","Gostorf","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Gostorf","Gostorf, Stepenitztal (Nordwestmecklenburg) - Forsthof","Gostorf","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stall Gostorf","Gostorf, Stepenitztal (Nordwestmecklenburg) - Forsthof","Gostorf","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Radelübbe","Radelübbe, Bandenitz (Ludwigslust-Parchim) - Bakendorfer Weg 7 - Forsthaus","Radelübbe","","","","1 Foto","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Radelübbe","Radelübbe, Bandenitz (Ludwigslust-Parchim) - Bakendorfer Weg 7 - Forsthaus","Radelübbe","","","","1 Foto","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Radelübbe","Radelübbe, Bandenitz (Ludwigslust-Parchim) - Bakendorfer Weg 7 - Forsthaus","Radelübbe","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Backhaus Radelübbe","Radelübbe, Bandenitz (Ludwigslust-Parchim) - Bakendorfer Weg 7 - Forsthaus","Radelübbe","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Dümmer","Dümmer (Ludwigslust-Parchim) - Forstweg 12 - Forsthof","Dümmer","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Dümmer","Dümmer (Ludwigslust-Parchim) - Forstweg 12 - Forsthof","Dümmer","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Dümmer","Dümmer (Ludwigslust-Parchim) - Forstweg 12 - Forsthof","Dümmer","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stall Dümmer","Dümmer (Ludwigslust-Parchim) - Forstweg 12 - Forsthof","Dümmer","","","","Foto","","","","images/placeholder.jpg","images/placeholder.jpg"
"Backhaus Dümmer","Dümmer (Ludwigslust-Parchim) - Forstweg 12 - Forsthof","Dümmer","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Einfriedung Dümmer","Dümmer (Ludwigslust-Parchim) - Forstweg 12 - Forsthof","Dümmer","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Friedrichsmoor","Friedrichsmoor, Neustadt-Glewe (Ludwigslust-Parchim) - Schloßallee 9 - Forsthaus","Friedrichsmoor","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Friedrichsmoor","Friedrichsmoor, Neustadt-Glewe (Ludwigslust-Parchim) - Schloßallee 9 - Forsthaus","Friedrichsmoor","","","","Innenaufnahmen","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Friedrichsmoor","Friedrichsmoor, Neustadt-Glewe (Ludwigslust-Parchim) - Schloßallee 9 - Forsthaus","Friedrichsmoor","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stall Friedrichsmoor","Friedrichsmoor, Neustadt-Glewe (Ludwigslust-Parchim) - Schloßallee 9 - Forsthaus","Friedrichsmoor","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Kühlhaus Friedrichsmoor","Friedrichsmoor, Neustadt-Glewe (Ludwigslust-Parchim) - Schloßallee 9 - Forsthaus","Friedrichsmoor","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Eiskeller Friedrichsmoor","Friedrichsmoor, Neustadt-Glewe (Ludwigslust-Parchim) - Schloßallee 9 - Forsthaus","Friedrichsmoor","","","","Foto","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Bahlenhüschen","Bahlenhüschen, Tramm (Ludwigslust-Parchim) - Zum Forsthof 2 - Forsthaus","Bahlenhüschen","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Bahlenhüschen","Bahlenhüschen, Tramm (Ludwigslust-Parchim) - Zum Forsthof 2 - Forsthaus","Bahlenhüschen","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stall Bahlenhüschen","Bahlenhüschen, Tramm (Ludwigslust-Parchim) - Zum Forsthof 2 - Forsthaus","Bahlenhüschen","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stall Bahlenhüschen","Bahlenhüschen, Tramm (Ludwigslust-Parchim) - Zum Forsthof 2 - Forsthaus","Bahlenhüschen","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Backhaus Bahlenhüschen","Bahlenhüschen, Tramm (Ludwigslust-Parchim) - Zum Forsthof 2 - Forsthaus","Bahlenhüschen","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Fischhaus Bahlenhüschen","Voigtsdorf, Parchim (Ludwigslust-Parchim) - Wirtschaftsgebäude","Bahlenhüschen","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Bahlenhüschen","Spornitz (Ludwigslust-Parchim) - Friedensstraße 34 - Forsthof","Bahlenhüschen","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Bahlenhüschen","Bahlenhüschen, Tramm (Ludwigslust-Parchim) - Zum Forsthof 2 - Forsthaus","Bahlenhüschen","","","","Denkmalwertbegründung","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Bahlenhüschen","Kremmin (Ludwigslust-Parchim) - Rosenstraße 22 - Forsthof","Bahlenhüschen","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Bahlenhüschen","Bahlenhüschen, Tramm (Ludwigslust-Parchim) - Zum Forsthof 2 - Forsthaus","Bahlenhüschen","","","","(sehr kurz)","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Bahlenhüschen","Bahlenhüschen, Tramm (Ludwigslust-Parchim) - Zum Forsthof 2 - Forsthaus","Bahlenhüschen","","","","(sehr kurz)","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Forsthaus ist nicht als Denkmal ausgewiesen?","Jasnitz, Picher (Ludwigslust-Parchim) - Lange Straße 21 - Forsthof","Jasnitz","","","","Restaurierungsdoku ausgewählte Innenräume","","","","images/placeholder.jpg","images/placeholder.jpg"
"Wirtschaftsgebäude Jasnitz","Jasnitz, Picher (Ludwigslust-Parchim) - Lange Straße 21 - Forsthof","Jasnitz","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Jasnitz","Jasnitz, Picher (Ludwigslust-Parchim) - Lange Straße 21 - Forsthof","Jasnitz","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Wildfutterscheune Jasnitz","Jasnitz, Picher (Ludwigslust-Parchim) - Lange Straße 21 - Forsthof","Jasnitz","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Wildfutterscheune Jasnitz","Jasnitz, Picher (Ludwigslust-Parchim) - Lange Straße 21 - Forsthof","Jasnitz","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Kraaker Mühle","Kraaker Mühle, Rastow (Ludwigslust-Parchim) - Kraaker Mühle 1 - Forsthof","Kraaker Mühle","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Wohnhaus Kraaker Mühle","Kraaker Mühle, Rastow (Ludwigslust-Parchim) - Kraaker Mühle 1 - Forsthof","Kraaker Mühle","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Kraaker Mühle","Kraaker Mühle, Rastow (Ludwigslust-Parchim) - Kraaker Mühle 1 - Forsthof","Kraaker Mühle","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Schildfeld","Schildfeld, Vellahn (Ludwigslust-Parchim) - Dorfstraße - Forsthof","Schildfeld","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Schildfeld","Schildfeld, Vellahn (Ludwigslust-Parchim) - Dorfstraße - Forsthof","Schildfeld","","","","Literaturhinweis","","","","images/placeholder.jpg","images/placeholder.jpg"
"Scheune Schildfeld","Schildfeld, Vellahn (Ludwigslust-Parchim) - Dorfstraße - Forsthof","Schildfeld","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Stall Schildfeld","Schildfeld, Vellahn (Ludwigslust-Parchim) - Dorfstraße - Forsthof","Schildfeld","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthof Klein Laasch","Klein Laasch, Neustadt-Glewe (Ludwigslust-Parchim) - Hauptstraße 11 - Forsthaus","Klein Laasch","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forsthaus Klein Laasch","Klein Laasch, Neustadt-Glewe (Ludwigslust-Parchim) - Hauptstraße 11 - Forsthaus","Klein Laasch","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Schuppen Klein Laasch","Klein Laasch, Neustadt-Glewe (Ludwigslust-Parchim) - Hauptstraße 11 - Forsthaus","Klein Laasch","","","","-","","","","images/placeholder.jpg","images/placeholder.jpg"
"Forstsamendarre Jatznick","Jatznick (Vorpommern-Greifswald) - Rothemühler Chaussee 1a - Darre","Jatznick","","","","","","","","images/placeholder.jpg","images/placeholder.jpg"
